"smiles","NAME_","F","pref_target_name"
[H]C1=C(C([H])=NN(C1=O)c1c([H])c([H])c([H])c(C([H])([H])[H])n1)c1c([H])c([H])c(c([H])c1[H])OC([H])([H])C([H])([H])C([H])([H])[N@@+]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[H],CHEMBL1958331,12.,Rattus norvegicus
[H]C1=C(C([H])=NN(C1=O)c1c([H])c([H])c([H])c([H])n1)c1c([H])c([H])c(c([H])c1[H])OC([H])([H])C([H])([H])C([H])([H])[N+]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],CHEMBL1958330,28.,Rattus norvegicus
[H]C1=C(C([H])=NN(C1=O)c1c(c([H])c([H])c([H])n1)C([H])([H])[H])c1c([H])c([H])c(c([H])c1[H])OC([H])([H])C([H])([H])C([H])([H])[N@@+]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[H],CHEMBL1958332,30.,Rattus norvegicus
[H]C1=C(N(C(C(=N1)N([H])C([H])([H])C(c1c([H])c([H])c([H])c([H])c1[H])(F)F)=O)C([H])([H])C(N([H])C([H])([H])C([H])([H])ON([H])C(N([H])[H])=[N+]([H])[H])=O)[Cl],CHEMBL1088332,9.,Rattus norvegicus
[H]C1=C(N2C(=C3C1=NN(C3=O)c1c([H])c([H])c([H])c([H])c1[Cl])C([H])([H])N(C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C2([H])[H])[O-],CHEMBL1927147,53.,Rattus norvegicus
[H]C1=C(N2C(=C3C1=NN(C3=O)c1c([H])c([H])c([H])c([H])c1[Cl])C([H])([H])N(C([H])([H])c1c([H])c([H])c([H])c([H])n1)C([H])([H])C([H])([H])C2([H])[H])[O-],CHEMBL1927157,42.,Rattus norvegicus
[H]C1=C([H])C(N(C([H])([H])c2c([H])c([H])c(c([H])c2[H])F)N=C1c1c2c([H])c(c([H])c([H])c2n(c1C([H])([H])[H])C([H])([H])C([O-])=O)F)=O,CHEMBL2205149,11.,Mus musculus
[H]C1=C([H])C(N(C([H])=C1C(C([H])([H])[C@]([H])(c1c([H])c([H])c(c([H])c1[H])S(C([H])([H])[H])(=O)=O)c1c([H])c([H])c([H])c([H])c1C([H])([H])[H])=NO[H])C([H])([H])[H])=O,CHEMBL2407934,29.,Mus musculus
[H]C1=C([H])C(N(C([H])=C1C1=N[C@@]([H])(C([H])([H])[H])[C@](c2c([H])c([H])c(c([H])c2[H])F)(c2c([H])c([H])c(nc2[H])F)N1[H])C([H])(F)F)=O,CHEMBL1784130,92.,Rattus norvegicus
[H]C1=C([H])C(N(C([H])=C1c1c([H])c([H])c(c([H])c1[H])[C@]([H])(C(N(C([H])([H])[H])C([H])([H])[H])=O)[C@@]([H])(C(N1C([H])([H])C([H])([H])[C@@]([H])(C1([H])[H])F)=O)N([H])[H])C([H])([H])[H])=O,CHEMBL209162,2.,Rattus norvegicus
[H]C1=C([H])C(N(C([H])=C1c1c([H])c([H])c(c(c1[H])C([H])([H])[H])S[C@]1([H])[C@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O1)O[H])O[H])O[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])=O,CHEMBL4238506,1.,Mus musculus
[H]C1=C([H])C(N(C([H])=C1c1c([H])c([H])c(c(c1[H])C([H])([H])[H])S[C@]1([H])[C@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O1)O[H])O[H])O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=O,CHEMBL4245479,3.,Mus musculus
[H]C1=C([H])N([H])C(c2c([H])c(c(c([H])c12)F)[N-]S(c1c([H])c([H])c(C2=C([H])N([H])C(C(C([H])([H])[H])(C([H])([H])[H])C2([H])[H])=O)s1)(=O)=O)=O,CHEMBL4083899,23.,Mus musculus
[H]C1=C([H])SC(=NC(c2c([H])c(c(c(c2[H])F)N([H])C(C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=O)F)=O)N1C([H])([H])OP([O-])([O-])=O,CHEMBL1671940,55.,Rattus norvegicus
[H]C1=C(c2c([H])c3c([H])c([H])c([H])n3c([H])n2)Oc2c([H])c([H])c(c([H])c2C1=[N+]([H])[O-])OC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],CHEMBL4067875,54.,Rattus norvegicus
[H]C1=C2C(c3c([H])c([H])c([H])c([H])c3C1=[N+]([H])c1c([H])c([H])nc([H])c1[H])=Nc1c([H])c([H])c(c([H])c1O2)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],CHEMBL1780224,30.,Rattus norvegicus
[H]C1=Nc2c([H])c([H])c(C#CC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c2C(N1C([H])([H])c1c([H])c([H])c(C([O-])=O)c([H])c1[H])=O,CHEMBL273054,75.,Rattus norvegicus
[H]C1=Nc2c([H])c([H])c(C#CC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c2C(N1C([H])([H])c1c([H])c(c(c(c1[H])F)O[H])F)=O,CHEMBL272245,2.,Rattus norvegicus
[H]C1C(=C(C(N(C([H])([H])[H])N=1)=O)c1c([H])c([H])c(c([H])c1[H])C([H])([H])[C@@]([H])(C([O-])=O)N([H])C(N(C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])=O)OC([H])([H])[H],CHEMBL208653,3.,Rattus norvegicus
[H]C1C(=C(C(N(C=1[H])c1c([H])c([H])c(c([H])c1[H])c1nc([H])c([H])o1)=O)c1c([H])c([H])c2c(c1[H])c([H])nc(n2)N([H])[H])C([H])([H])[H],CHEMBL525893,39.,Rattus norvegicus
[H]C1C([H])=C(C([H])([H])[H])N(C(C=1N([H])S(c1c([H])c([H])c([H])c(c1[H])C([H])([H])[H])(=O)=O)=O)C([H])([H])C(N([H])C([H])([H])C([H])([H])ON([H])C(N([H])[H])=[N+]([H])[H])=O,CHEMBL256941,6.,Rattus norvegicus
[H]c1c(C#N)c([H])n(C([H])([H])C([C@@]2([H])C([H])([H])C([H])([H])[C@]3([H])[C@]2(C([H])([H])[H])C([H])([H])C([H])([H])[C@]2([H])[C@@]4([H])C([H])([H])C([H])([H])[C@](C([H])([H])[H])(C([H])([H])[C@@]4([H])C([H])([H])C([H])([H])[C@]23[H])O[H])=O)n1,CHEMBL4105630,32.,Rattus norvegicus
[H]c1c(C#N)nn(c1[H])C([H])([H])C([C@@]1([H])C([H])([H])C([H])([H])[C@]2([H])[C@]1(C([H])([H])[H])C([H])([H])C([H])([H])[C@]1([H])[C@@]3([H])C([H])([H])C([H])([H])[C@](C([H])([H])[H])(C([H])([H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12[H])O[H])=O,CHEMBL4073780,26.,Mus musculus
[H]c1c(C(N(C([H])([H])c2c([H])c([H])oc2[H])C([H])([H])C([H])([H])C([H])([H])[H])=O)c([H])c(c([H])c1C([H])([H])[H])OC([H])([H])C1(C([H])([H])C1([H])[H])C([H])([H])ON([H])C(N([H])[H])=[N+]([H])[H],CHEMBL121396,24.,Rattus norvegicus
[H]c1c(C(N([H])[C@@]2([H])[C@@]3([H])C([H])([H])[C@]4([H])C([H])([H])[C@](C3([H])[H])(C([H])([H])[C@@]2([H])C4([H])[H])O[H])=O)c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])nc(n1)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],CHEMBL2158484,100.,Rattus norvegicus
[H]c1c(C(N([H])[C@@]2([H])[C@@]3([H])C([H])([H])[C@]4([H])C([H])([H])[C@](C3([H])[H])(C([H])([H])[C@@]2([H])C4([H])[H])O[H])=O)c(C2([H])C([H])([H])C([H])([H])C2([H])[H])nc(n1)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],CHEMBL2158486,45.,Rattus norvegicus
[H]c1c(C(N([H])[C@@]2([H])[C@@]3([H])C([H])([H])[C@]4([H])C([H])([H])[C@](C3([H])[H])(C([H])([H])[C@@]2([H])C4([H])[H])O[H])=O)c(nc(n1)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])OC([H])([H])C([H])([H])C([H])([H])[H],CHEMBL2158535,36.,Rattus norvegicus
[H]c1c(C(N([H])[C@@]2([H])[C@@]3([H])C([H])([H])[C@]4([H])C([H])([H])[C@](C3([H])[H])(C([H])([H])[C@@]2([H])C4([H])[H])O[H])=O)c(nc(n1)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])SC([H])([H])C([H])([H])C([H])([H])[H],CHEMBL2158471,83.,Rattus norvegicus
[H]c1c(C(N([H])c2nc([H])c(F)s2)=O)c(C([H])([H])[H])sc1[C@]1([H])C([H])([H])C([H])([H])C([H])([H])N1C(C([H])([H])N(C([H])([H])C([O-])=O)C([H])([H])C([H])([H])[H])=O,CHEMBL4283796,20.,Mus musculus
[H]c1c(C([H])([H])N2C([H])([H])C([H])([H])N(c3c(c([H])[n+]([H])c4c3n([H])c(N3C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C3([H])[H])[n+]4[H])[Br])C([H])([H])C2([H])[H])noc1C([H])([H])[H],CHEMBL1086579,98.,Mus musculus
[H]c1c([H])c(C#N)nc([H])c1c1c2c(c3c([H])c(c([H])c([H])c3C2([H])[H])OC([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])n([H])n1,CHEMBL248911,44.,Mus musculus
[H]c1c([H])c(C(N([H])c2c([H])c([H])c(c(C(N([H])c3c([H])c([H])c([H])nc3[H])=O)c2[H])C([H])([H])[H])=O)c([H])c(c1[H])C(C#N)(C([H])([H])[H])C([H])([H])[H],CHEMBL480389,17.,Rattus norvegicus
[H]c1c([H])c(C(N([H])c2c([H])c([H])c(c(c2[H])[C@]2(C([H])([H])[H])C([H])([H])[C@@]([H])(C(F)(F)F)OC(N([H])[H])=[N+]2[H])F)=O)nc([H])c1C#N,CHEMBL2347208,68.,Rattus norvegicus
[H]c1c([H])c(C(N2C([H])([H])C([H])([H])c3c([C@@]2([H])C([H])([H])[H])nnn3c2nc([H])c([H])c(C([H])([H])[H])n2)=O)c(c(c1[H])C(F)(F)F)[Cl],CHEMBL4095741,3.,Rattus norvegicus
[H]c1c([H])c(C(N2C([H])([H])C([H])([H])c3c([C@@]2([H])C([H])([H])[H])nnn3c2nc([H])c(c([H])n2)F)=O)c(c(c1[H])C(F)(F)F)[Cl],CHEMBL4079239,96.,Rattus norvegicus
[H]c1c([H])c(C([H])([H])[H])nc(c1[H])C([H])([H])OC1C2=C(c3nnc(c4c([H])c(C([H])([H])[H])on4)n3N=1)[C@@]1([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])C1([H])[H],CHEMBL303718,3.,Rattus norvegicus
[H]c1c([H])c(C([H])([H])[H])nc(c1[H])C([H])([H])OC1C2=C(c3nnc(c4nc(C([H])([H])[H])no4)n3N=1)[C@@]1([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])C1([H])[H],CHEMBL305068,1.,Rattus norvegicus
[H]c1c([H])c(N2C([H])([H])C([H])([H])[C@@]([H])(C2([H])[H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])n2c([H])c(C([H])([H])N(C([H])([H])[H])[C@]3([H])c4c(c([H])c([H])c([H])n4)C([H])([H])C([H])([H])C3([H])[H])[n+]([H])c2c1[H],CHEMBL570301,2.,Rattus norvegicus
[H]c1c([H])c([C@@]2([H])C([H])([H])[N+]([H])([H])C([H])([H])C([H])([H])C2(F)F)nc(c1[H])n1c2c([H])c(c3c([H])nc([H])c(C([H])([H])[H])n3)nc([H])c2c([H])n1,CHEMBL4076913,57.,Rattus norvegicus
[H]c1c([H])c([H])c(C(N2C([H])([H])C([H])([H])N(C(C(c3c4c(c([H])c([H])nc4n([H])c3[H])OC([H])([H])[H])=O)=O)[C@]([H])(C([H])([H])[H])C2([H])[H])=O)c([H])c1[H],CHEMBL337301,19.,Rattus norvegicus
[H]c1c([H])c([H])c(C([C@@]([H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])c2c([H])c([H])c(c(c2[H])[Br])C(F)(F)P([O-])([O-])=O)=O)c([H])c1[H],CHEMBL8758,13.,Rattus norvegicus
[H]c1c([H])c([H])c(c(C#Cc2c([H])c([H])c(C(N3C([H])([H])C([H])([H])C([H])(c4c([H])c([H])c([H])c(c4[H])C([H])([H])[N+]([H])([H])[H])C([H])([H])C3([H])[H])=O)o2)c1[H])F,CHEMBL1944727,77.,Rattus norvegicus
[H]c1c([H])c([H])c(c(C(N([H])c2c([H])c([H])c(c([H])n2)[Cl])=O)c1[H])N([H])C(c1c([H])c([H])c(C(N(C([H])([H])[H])C([H])([H])[H])=[N+]([H])[H])c([H])c1[H])=O,CHEMBL471725,31.,Rattus norvegicus
[H]c1c([H])c([H])c(c(C(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])c2c([H])c3nc(c(c([H])n3n2)C([H])([H])[H])C([H])([H])[H])=O)c1[H])[N-]S(C([H])([H])[H])(=O)=O,CHEMBL3410428,18.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(c(c1[H])C([H])([H])O[H])O[H])O[H],CHEMBL1263,10.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])C([H])([H])N([H])c1c(C(N([H])[H])=O)c([H])nc(n1)N([H])c1c([H])c([H])c(c([H])c1[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],CHEMBL471114,30.,Mus musculus
[H]c1c([H])c([H])c(c([H])c1[H])C([H])([H])N([H])c1nc([H])c([H])c(C2=C(C(N3C([H])([H])C([H])([H])C([H])([H])N23)=O)c2c([H])c([H])c(c([H])c2[H])F)n1,CHEMBL94171,18.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])C([H])([H])N1C(C([H])([H])C([H])([H])C(C([H])([H])c2c3c([H])c(c([H])c([H])c3n(c2C([H])([H])[H])C([H])([H])C([O-])=O)F)=N1)=O,CHEMBL2205147,28.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])C([H])([H])Oc1c([H])c([H])c(c([H])c1C(N([H])c1c([H])c([H])c([H])nc1[H])=O)c1c([H])c([H])nc(c1[H])F,CHEMBL2204495,12.2,Mus musculus
[H]c1c([H])c([H])c(c([H])c1[H])C([H])([H])Oc1c([H])c([H])c(c([H])c1[H])[C@]1([H])N(C(C([H])([H])C([H])([H])S1)=O)N([H])C(c1c([H])c([H])nc([H])c1[H])=O,CHEMBL2024174,16.7,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])C([H])([H])[C@@]([H])(C(N([H])c1c([H])c(c2c([H])c([H])nc([H])c2[H])nn1C([H])([H])[H])=O)N([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],CHEMBL2430984,40.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])C([H])([H])[C@@]([H])(C(N(c1nc(c2c([H])c([H])c([H])c([H])c2[Cl])c([H])s1)C1([H])C([H])([H])C1([H])[H])=O)C([H])([H])C([O-])=O,CHEMBL4166818,52.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])C([H])([H])[C@@]([H])(C([O-])=O)N([H])C([C@]1([H])C([H])([H])C([H])([H])C([H])([H])N1S(c1c([H])c(c([H])c(c1[H])[Cl])[Cl])(=O)=O)=O,CHEMBL347903,47.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])C([H])([H])[C@]1([H])C([H])([H])C([H])([H])[C@@](C([H])([H])c2c([H])c(c3c([H])c([H])c4c(c3[H])OC(N4[H])=O)on2)(C([H])([H])C1([H])[H])O[H],CHEMBL4077427,8.4,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])C([H])([H])n1c(C(N([H])c2c([H])c([H])c(c([H])c2[H])OC([H])([H])[H])=O)c([H])c(n1)OC([H])([H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H],CHEMBL12609,12.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])N(C(=O)OC([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C1([H])[H])C([H])([H])OC([H])([H])C([O-])=O)c1c([H])c([H])c([H])c(c1[H])F,CHEMBL3933704,39.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])N(C(=O)OC([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C1([H])[H])C([H])([H])OC([H])([H])C([O-])=O)c1c([H])c([H])c(c([H])c1[H])F,CHEMBL3975122,100.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])N(C(=O)OC([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C1([H])[H])C([H])([H])OC([H])([H])C([O-])=O)c1c([H])c([H])c(c([H])c1[H])[Cl],CHEMBL3301604,57.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])OC1([H])C([H])([H])C([H])([H])N(c2nc([H])nc(n2)N([H])c2c([H])c([H])c([H])c(c2[H])N([H])C(C([H])([H])[H])=O)C([H])([H])C1([H])[H],CHEMBL1813031,52.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])[C@@]1(C([H])([H])C([H])([H])C(N([H])[H])=O)C([H])([H])C([H])([H])N(C(=O)O1)[C@]([H])(c1c([H])c([H])c(c([H])c1[H])OC([H])(F)F)C([H])([H])[H],CHEMBL4076820,51.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])[C@@]1(C([H])([H])C([H])([H])C([H])([H])[N@+]([H])(C([H])([H])[H])C1([H])[H])N([H])C(c1c(c([H])c(c([H])c1SC([H])([H])[H])C(F)(F)F)OC([H])([H])[H])=O,CHEMBL3259928,100.,Mus musculus
[H]c1c([H])c([H])c(c([H])c1[H])[C@@]1([H])C([H])([H])[C@]1([H])N([H])C(N1C([H])([H])C([H])([H])C([H])(C([H])([H])C1([H])[H])Oc1c([H])c([H])c(c([H])c1[Cl])C([H])([H])C([O-])=O)=O,CHEMBL3114610,63.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])[C@]1(C([H])([H])C([H])([H])N(C(=O)O1)[C@]([H])(c1c([H])c([H])c(c([H])c1[H])OC([H])(F)F)C([H])([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])O[H],CHEMBL4103620,57.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])[C@]1(C([H])([H])C([H])([H])N(C(=O)O1)c1c([H])c([H])c([H])c(c1[H])c1c([H])c([H])c(c([H])c1F)F)C([H])([H])C([H])([H])O[H],CHEMBL1829756,44.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])[C@]1([H])C([H])([H])[C@@]1([H])N([H])c1c2c(nc(n1)SC([H])([H])C([H])([H])C([H])([H])[H])n([C@]1([H])C([H])([H])C([H])([H])[C@]([H])([C@@]1([H])O[H])O[H])nn2,CHEMBL398434,38.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])[C@]1([H])[C@@]([H])(c2c([H])c([H])c(c([H])c2[H])c2nc([H])c(c([H])n2)OC([H])(F)F)[C@@]1(C(N([H])O[H])=O)F,CHEMBL3794485,100.,Mus musculus
[H]c1c([H])c([H])c(c([H])c1[H])c1c([H])c([H])c([H])c(C(N([H])[C@]([H])(C(N([H])[C@]([H])([B](O[H])O[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])=O)[C@@]([H])(C([H])([H])[H])O[H])=O)n1,CHEMBL270515,39.,Mus musculus
[H]c1c([H])c([H])c(c([H])c1[H])c1c([H])c2c(c([H])c1N(C([H])([H])[H])[C@@]1(C([H])([H])[H])C([H])([H])[N@@+]([H])(C([H])([H])[H])C1([H])[H])N1C(C([H])([H])O2)=NN([H])C([C@@]1([H])C([H])([H])[H])=O,CHEMBL3355117,26.,Mus musculus
[H]c1c([H])c([H])c(c([H])c1[H])c1c([H])c2c(nc1[H])nc(c1c([H])c(c([H])c([H])c1F)N([H])C(N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H])=O)n2[H],CHEMBL3115821,35.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])c1c([H])nc(c([H])n1)N([H])C(N1C([H])([H])C([H])([H])C2(c3c([H])c([H])c([H])c([H])c3C(=O)O2)C([H])([H])C1([H])[H])=O,CHEMBL491930,49.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])c1c([H])nc(c([H])n1)N([H])C(N1C([H])([H])C([H])([H])C2(c3c([H])c([H])c([H])c([H])c3C(N2[H])=O)C([H])([H])C1([H])[H])=O,CHEMBL482667,8.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])c1c(c(C(F)(F)F)on1)C([H])([H])Oc1c(c([H])c(c([H])c1F)C([H])([H])C([H])([H])C([O-])=O)F,CHEMBL4080995,49.5,Mus musculus
[H]c1c([H])c([H])c(c([H])c1[H])c1c2C(c3c([H])c([H])c(C(N4C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C4([H])[H])=O)c([H])c3c2nc(n1)N([H])[H])=O,CHEMBL1087185,41.,Mus musculus
[H]c1c([H])c([H])c(c([H])c1[H])c1c2C(c3c([H])c([H])c(c([H])c3c2nc(n1)N([H])[H])OC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=O,CHEMBL1095488,18.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])c1nc(C(N([H])c2c([H])c([H])c(nc2[H])N(C([H])([H])[H])C([H])([H])C([H])([H])OC([H])([H])[H])=O)c(C(F)(F)F)o1,CHEMBL1766813,77.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])c1nnc2C3=C(C(=Nn12)OC([H])([H])c1c([H])c([H])c([H])c([H])n1)[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]3([H])C([H])([H])C1([H])[H],CHEMBL53587,33.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])n1c(c([H])c(C([H])([H])[H])n1)N1C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C1([H])[H])[C@@]1([H])C([H])([H])[C@@]([H])(C(N2C([H])([H])C([H])([H])SC2([H])[H])=O)N([H])C1([H])[H],CHEMBL2147708,62.9,Rattus norvegicus
[H]c1c([H])c([H])c(c(c1[H])C([H])([H])C([O-])=O)OC([H])([H])C([H])([H])[C@]1([H])C(N(c2c([H])c([H])c([H])c([H])c2O1)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=O,CHEMBL177454,95.,Rattus norvegicus
[H]c1c([H])c([H])c(c(c1[H])C([H])([H])C([O-])=O)OC([H])([H])C([H])([H])[C@]1([H])C(N(c2c([H])c([H])c([H])c([H])c2O1)C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H])=O,CHEMBL174639,41.,Rattus norvegicus
[H]c1c([H])c([H])c(c(c1[H])N([H])C([H])([H])c1nc(c2c([H])c([H])c3nc([H])nn3c2[H])c(c2c([H])c([H])c([H])c(C([H])([H])[H])n2)n1[H])F,CHEMBL3260908,51.,Rattus norvegicus
[H]c1c([H])c([H])c(c(c1[H])N([H])[H])N([H])C(c1c([H])c([H])c(c([H])c1[H])C([H])([H])N([H])c1nc([H])c([H])c(c2c([H])c([H])c([H])nc2[H])n1)=O,CHEMBL272980,12.,Mus musculus
[H]c1c([H])c([H])c(c(c1[H])[N-]S(c1c([H])c(C(N2C([H])([H])C([H])([H])[N@+]3([H])C([H])([H])C([H])([H])C([H])([H])[C@@]3([H])C2([H])[H])=O)c(c([H])c1F)[Cl])(=O)=O)F,CHEMBL3589556,57.,Rattus norvegicus
[H]c1c([H])c([H])c(c(c1[H])[N-]S(c1c([H])c(C(N2C([H])([H])C([H])([H])[N@@+]3([H])C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C2([H])[H])=O)c(c([H])c1F)[Cl])(=O)=O)F,CHEMBL3589557,73.,Rattus norvegicus
[H]c1c([H])c([H])c(c(c1[H])[N-]S(c1c([H])c(C(N2C([H])([H])C([H])([H])[N@@+]3([H])C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C2([H])[H])=O)c(c([H])c1[Cl])[Cl])(=O)=O)F,CHEMBL3589554,44.,Rattus norvegicus
[H]c1c([H])c([H])c(c(c1[H])c1c([H])c([H])c([H])c(c1O[H])c1c([H])c2c([H])c(C(=NOC([H])(C([H])([H])[H])C([H])([H])[H])N([H])[H])c([H])c([H])c2n1[H])O[H],CHEMBL204893,10.,Rattus norvegicus
[H]c1c([H])c([H])c(c(c1[H])c1c([H])c([H])c(c([H])c1[H])C([H])([H])[C@@]([H])(C([O-])=O)N([H])C([C@@]1(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])O1)=O)OC1([H])C([H])([H])C1([H])[H],CHEMBL286538,76.,Rattus norvegicus
[H]c1c([H])c([H])c(c(c1[H])c1c([H])c2c(c([H])c1[C@@]1([H])C([H])([H])C([H])([H])[N@+]([H])(C([H])([H])[H])C([H])([H])C1([H])[H])N1C(C([H])([H])O2)=NN([H])C([C@@]1([H])C([H])([H])[H])=O)F,CHEMBL3355122,54.,Mus musculus
[H]c1c([H])c([H])c(c(c1[H])c1c([H])c2c(c([H])c1[C@]1([H])C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])[C@]1([H])C([H])([H])[H])N1C(C([H])([H])O2)=NN([H])C([C@@]1([H])C([H])([H])[H])=O)F,CHEMBL3355123,53.,Mus musculus
[H]c1c([H])c([H])c(c(c1[H])c1c(c([H])c2c(c(C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=O)oc2n1)N([H])[H])c1c([H])c([H])c(c([H])c1[H])[Cl])[Cl],CHEMBL1089352,100.,Rattus norvegicus
[H]c1c([H])c([H])c(c(c1[H])c1c2c([H])c([H])c(c([H])c2c([H])nn1)c1c([H])c(C(N([H])C2([H])C([H])([H])C2([H])[H])=O)c([H])c([H])c1C([H])([H])[H])C([H])([H])[H],CHEMBL492265,40.,Rattus norvegicus
[H]c1c([H])c([H])c(c(c1[H])c1nc2c(C(N([H])[C@@]3([H])C([H])([H])[C@]4([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C3([H])[H])[N@@+]4([H])C([H])([H])[H])=O)c([H])c([H])c([H])c2o1)OC([H])([H])[H],CHEMBL3084777,44.,Rattus norvegicus
[H]c1c([H])c([H])c(c(c1[H])c1nc2c(nc(C([H])([H])[H])nc2n1C([H])([H])C([H])([H])S(C([H])([H])[H])(=O)=O)N1C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])C1([H])[H])[Cl],CHEMBL3092896,43.,Rattus norvegicus
[H]c1c([H])c([H])c(c(c1[H])c1nc2c(nc(C([H])([H])[H])nc2n1C1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])N1C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])C1([H])[H])[Cl],CHEMBL3092901,67.,Rattus norvegicus
