"smiles","NAME_","F","pref_target_name"
[H]c1c([H])c(c([H])c(c1[H])[Cl])O[C@@]1([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])C1([H])[H],CHEMBL1778764,100.,Rattus norvegicus
[H]c1c([H])c(c(c(c1[H])C([H])([H])C([H])([H])[H])C([H])([H])c1nc([H])c([H])n1[H])C([H])([H])C([H])([H])[H],CHEMBL2206397,17.,Rattus norvegicus
[H]c1c([H])c(c(c(c1[H])[Cl])[Cl])c1c(nc(nn1)N([H])[H])N([H])[H],CHEMBL741,79.,Rattus norvegicus
[H]c1c([H])c(c2C(N([H])[C@]3([H])C([H])([H])[N+]([H])([H])C([H])([H])C([H])([H])N3c2c1[H])=O)C([H])([H])[H],CHEMBL590078,49.,Rattus norvegicus
[H]c1c(c2c(c(C(N([H])[H])=O)sc2nc1[H])N([H])[H])N(C([H])([H])[H])C([H])([H])[H],CHEMBL1409708,97.,Rattus norvegicus
[H]c1nc(c2c(c(C([H])([H])[H])sc2n1)[Cl])SC([H])([H])C([O-])=O,CHEMBL3774528,95.,Mus musculus
[H]c1nc2C(N([H])C(=Nc2n1C([H])([H])OC([H])([H])C([H])([H])O[H])N([H])[H])=O,CHEMBL184,20.,Rattus norvegicus
[H]C([H])([H])C(N([H])[C@]([H])(C(N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])=O)C([H])([H])SC([H])([H])[H])=O,CHEMBL4285970,52.8,Rattus norvegicus
[H]C([H])([H])C([H])(C([H])([H])[H])OP(C(P([O-])(=O)OC([H])(C([H])([H])[H])C([H])([H])[H])([Cl])[Cl])([O-])=O,CHEMBL1160493,1.9,Rattus norvegicus
[H]C([H])([H])C([H])(C([H])([H])[H])OP(C(P([O-])([O-])=O)([Cl])[Cl])(=O)OC([H])(C([H])([H])[H])C([H])([H])[H],CHEMBL1160502,13.6,Rattus norvegicus
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OP(C(P([O-])([O-])=O)([Cl])[Cl])([O-])=O,CHEMBL1160491,17.9,Rattus norvegicus
[H]C([H])([H])C([H])([H])OP(C(P(=O)(OC([H])([H])C([H])([H])[H])OC([H])([H])C([H])([H])[H])([Cl])[Cl])([O-])=O,CHEMBL1160494,7.,Rattus norvegicus
[H]C([H])([H])C(c1nc(c(C([H])([H])[H])n1[H])[C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H])=O,CHEMBL446257,11.,Mus musculus
[H]C1=C([H])N(C(N=C1N([H])[H])=O)C([H])([H])[C@@]1([H])C([H])([H])OP(C([H])([H])O1)([O-])=O,CHEMBL392630,2.2,Rattus norvegicus
[H]c1c([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])OC([H])([H])[H])nc(C(C([H])([H])[H])=O)n1[H],CHEMBL508472,42.,Mus musculus
[H]c1c([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H])n([H])c(C(C([H])([H])[H])=NO[H])n1,CHEMBL1802099,6.8,Mus musculus
[H]c1c([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H])nc(C(C([H])([H])[H])=O)n1C([H])([H])[H],CHEMBL529441,33.6,Mus musculus
[H]c1c([H])c(C(C([H])([H])[H])=O)nc(c1[H])[C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H],CHEMBL475689,88.,Mus musculus
[H]c1c([H])c(C(N([H])[H])=O)c2c(c1[H])n([H])c(C(C([H])([H])[H])(C([H])([H])[H])[N+]([H])([H])C([H])([H])[H])n2,CHEMBL481081,85.,Mus musculus
[H]c1c([H])c(C(N([H])[H])=O)c2c(c1[H])n([H])c([C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[N+]1([H])[H])n2,CHEMBL488830,100.,Mus musculus
[H]c1c([H])c([H])c(C(=NOC([C@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])N([H])[H])=O)N([H])[H])c([H])c1[H],CHEMBL1684160,87.7,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])N1C(c2c([H])c(c([H])c([H])c2S1)F)=O,CHEMBL1406130,35.,Mus musculus
[H]c1c([H])c([H])c(c(c1[H])C([H])([H])[H])N=C1N([H])C([C@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])S1)=O,CHEMBL238095,87.,Rattus norvegicus
[H]c1c([H])c([H])c2c(c([H])c([H])c([H])c2c1[H])N([H])c1nc(c([H])s1)C([H])([H])[H],CHEMBL383736,2.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1N(C([H])([H])c1c([H])[n+]([H])c([H])n1[H])C([H])(C([H])([H])[H])C([H])([H])[H])[Cl],CHEMBL2206375,66.,Rattus norvegicus
[H]c1c([H])c(c(c([H])c1[C@]12C([H])([H])[N+]([H])([H])C([H])([H])[C@@]1([H])[C@]2([H])C([H])([H])OC([H])([H])[H])[Cl])[Cl],CHEMBL596809,94.,Rattus norvegicus
[H]c1c([H])c2c(c([H])c1c1c([H])c([H])c([H])nc1[H])C([H])([H])C([H])([H])C(N2[H])=O,CHEMBL62811,71.,Rattus norvegicus
[H]c1c([H])c2c(c(c1[H])[Cl])[C@@]([H])(C([H])([H])[H])N([H])C(N([H])C([H])([H])C([H])(F)F)=[N+]2[H],CHEMBL404511,36.,Mus musculus
[H]c1c([H])n(c2c(c(C([H])([H])[H])nc(n2)N([H])[H])[N+]([O-])=O)c(C([H])([H])[H])n1,CHEMBL234435,59.,Rattus norvegicus
[H]c1c(c2c3c(C(C([H])([H])C([H])([H])C3([H])[H])=O)c(SC([H])([H])[H])s2)nn([H])c1[H],CHEMBL3799347,33.,Rattus norvegicus
[H]c1c(c2c3c(C(N([H])C([H])([H])C3([H])[H])=O)c(SC([H])([H])[H])s2)nn([H])c1[H],CHEMBL3800053,70.,Rattus norvegicus
[H]c1c(noc1[C@@]1([H])C([H])([H])C([H])([H])[N+]([H])([H])[C@@]([H])(C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1([H])[H])O[H],CHEMBL3287851,39.,Rattus norvegicus
[H]C([H])([H])C([H])(C([H])([H])[H])[C@]1(C([N+]([H])=C(N([H])[C@@]2([H])C([H])([H])[C@]3([H])C([H])([H])C([H])([H])[C@@]2([H])C3([H])[H])S1)=O)C([H])([H])[H],CHEMBL1085107,31.,Mus musculus
[H]C([H])([H])C(c1nc(c(C([H])([H])C([H])([H])[H])n1[H])[C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H])=O,CHEMBL451653,17.1,Mus musculus
[H]C([H])([H])C1(C(N([H])[C@]2([H])C(N([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])=O)=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],CHEMBL453720,5.,Rattus norvegicus
[H]C1=C(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])N([H])C(C(=C1[O-])c1c([H])c([H])c([H])c([H])c1[H])=O,CHEMBL3597017,55.,Mus musculus
