canonical_smiles,molecule_chembl_id,F,target_pref_name
CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNC(=O)OC)c2cccc(Cl)c2)C1,CHEMBL592763,0.3,Rattus norvegicus
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccc(-c2ccc(CO)cc2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,CHEMBL1835678,0.3,Rattus norvegicus
O=C(O)c1ccc(NC(=O)c2cc(Cl)c(OC3CCCC3)c(Cl)c2)cc1,CHEMBL4211827,0.3,Rattus norvegicus
N=C(N)c1cccc(Oc2cc([N+](=O)[O-])ccc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,CHEMBL417349,0.3,Rattus norvegicus
Cc1cc(C[C@@H](NC(=O)N2CCC(N3Cc4cccc(F)c4NC3=O)CC2)C(=O)N2CCC(N3CCCCC3)CC2)cc2cn[nH]c12,CHEMBL450668,0.3,Rattus norvegicus
N=C(N)NCCC[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)CCC(=O)NCCN(CC(N)=O)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,CHEMBL408398,0.35,Rattus norvegicus
N[C@H]1CCCC[C@H]1NC(=O)P(=O)(O)O,CHEMBL270083,0.35,Rattus norvegicus
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)OCOC(=O)C(C)(C)C)c4)C3)[C@H](C)[C@H]12,CHEMBL2431068,0.37,Rattus norvegicus
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)OCOC(=O)C(C)(C)C)c4)C3)[C@H](C)[C@H]12,CHEMBL2431068,0.37,Rattus norvegicus
C[C@@H]1CCCN1C(=O)c1nn(C)c2nc(OCc3ccccn3)ccc12,CHEMBL3122225,0.4,Rattus norvegicus
Nc1ncnc2c1nc(Sc1cc3c(cc1Br)OCO3)n2CCC(N)C1CC1,CHEMBL2170455,0.4,Mus musculus
O=C(c1cncc2ccccc12)N1CCN(C(=O)c2ccc(Br)cc2)[C@@H](c2ccc(Cl)cc2)C1,CHEMBL4162337,0.4,Mus musculus
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(C)C)n3)nc3cc(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)P(C)(=O)O,CHEMBL1779109,0.4,Rattus norvegicus
O=C(O)c1ccc(CCCc2c(CCNS(=O)(=O)c3ccccc3-c3ccccc3)n(C(c3ccccc3)c3ccccc3)c3ccc(Cl)cc23)cc1,CHEMBL272346,0.4,Rattus norvegicus
FC(F)(F)c1cccc(N2CCN(CCCCNc3cc(-c4ccccc4)ccn3)CC2)c1,CHEMBL1223857,0.4,Mus musculus
CNC(=N)c1cccc(/C(C)=C(/F)C(=O)Nc2ccc(-c3ccncc3S(N)(=O)=O)cc2)c1,CHEMBL61951,0.4,Rattus norvegicus
COCCCn1cc(CN(C(=O)[C@H]2CNC[C@@H](C(=O)N[C@@H](CO)CC(C)C)C2)C2CC2)c2ccccc21,CHEMBL3318936,0.4,Rattus norvegicus
CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(C)(c1cc(F)cc(F)c1)O2,CHEMBL239496,0.4,Rattus norvegicus
CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(C)(c1cc(F)cc(F)c1)O2.Cl,CHEMBL4099339,0.4,Rattus norvegicus
CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(C)(c1cc(F)cc(F)c1)O2,CHEMBL239496,0.4,Rattus norvegicus
COc1ccccc1/N=C1\SCC2(CCCCC2)CN1C(=S)SC,CHEMBL231721,0.4,Rattus norvegicus
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)Nc1ccc2c(c1)B(O)OC2)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,CHEMBL1761962,0.42,Rattus norvegicus
CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,CHEMBL3221407,0.469,Rattus norvegicus
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O,CHEMBL1747,0.48,Mus musculus
NC(=O)c1sc(N2CCOCC2)cc1OCCc1ccccc1,CHEMBL4213475,0.5,Mus musculus
COC(=O)N[C@@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ncc(-c4cnc([C@@H]5CCCN5C(=O)[C@H](NC(=O)OC)c5ccccc5)[nH]4)cn3)cc2)[nH]1)c1ccccc1,CHEMBL3121244,0.5,Rattus norvegicus
COc1cccc(-c2ccc(-n3c(Cl)cc4[nH]c(=O)c(-c5cccc(C(=O)O)c5)c(O)c43)cc2)c1O,CHEMBL2408236,0.5,Mus musculus
CSc1cccc(Sc2ccc([C@@H]3O[C@@H]4C[C@H]5[C@@H]6C[C@H](F)C7=CC(=O)C=C[C@]7(C)[C@@]6(F)[C@@H](O)C[C@]5(C)[C@]4(C(=O)CO)O3)cc2)c1,CHEMBL1834537,0.5,Rattus norvegicus
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)cc(OCCOC)c1.Cl,CHEMBL1824501,0.5,Rattus norvegicus
CC1CC(C)CN(C(=O)c2cccc(S(=O)(=O)N3c4ccccc4CC3C)c2)C1,CHEMBL1486348,0.5,Rattus norvegicus
CC[C@@H]1c2c(C#N)ncn2-c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C(C)C,CHEMBL4085987,0.5,Rattus norvegicus
OCCCCOc1cc(CNc2nc3ccccc3n2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)ccc1-c1ccccc1,CHEMBL3808747,0.51,Rattus norvegicus
CC(C)NC[C@H](O)COc1ccc2c(=O)cc(-c3cc(O)cc(O)c3)oc2c1,CHEMBL2171586,0.52,Rattus norvegicus
